dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
gsm_106857,589447,11174185,2.3126,2.3384,2.2948,2.3161
k3plates,11108,378927,0.0282,0.0287,0.025,0.0256
ak2010,45293,108549,0.0707,0.0461,0.0763,0.047
c-51,23197,113123,0.1216,0.0289,0.1317,0.0278
ch8-8-b3,117601,470400,0.1046,0.1088,0.0969,0.1029
af_4_k101,503626,9027150,0.5235,0.5429,0.5114,0.5379
mixtank_new,29958,1995041,0.2215,0.2283,0.1869,0.1961
delaunay_n21,2097153,6291408,1.5166,1.5876,1.5421,1.6153
bcsstk39,46773,1068033,0.0766,0.0783,0.0726,0.075
sinc18,16429,973826,0.1589,0.1514,0.1341,0.1272
ford1,18729,60152,0.0183,0.0189,0.0177,0.0183
bcsstk18,11949,80519,0.0181,0.0186,0.0172,0.0179
gyro,17362,519260,0.04,0.0405,0.0359,0.0366
boneS01,127225,3421188,0.2083,0.211,0.192,0.1977
c-64,51036,384438,0.072,0.0605,0.074,0.0605
TSOPF_RS_b300_c1,14539,1474325,0.0646,0.0602,0.058,0.0527
sinc15,11533,568526,0.1001,0.0909,0.0823,0.0778
stokes64,12547,74242,0.0148,0.0151,0.014,0.0146
rail_79841,79842,316881,0.0695,0.0732,0.0705,0.0739
